strain2;Position (mm);Force (N);Strain (%);Time (min);Tensao
#VALOR!;1,82;420;0,345;1,83;
#VALOR!;1,83;422;0,346;1,83;
#VALOR!;1,83;423;0,347;1,83;
#VALOR!;1,83;425;0,348;1,84;
#VALOR!;1,84;427;0,349;1,84;
#VALOR!;1,84;427;0,351;1,84;
#VALOR!;1,84;428;0,352;1,85;
#VALOR!;1,85;430;0,353;1,85;
#VALOR!;1,85;432;0,354;1,85;
#VALOR!;1,85;433;0,355;1,86;
#VALOR!;1,86;435;0,357;1,86;
#VALOR!;1,86;437;0,358;1,86;
#VALOR!;1,86;438;0,359;1,87;
#VALOR!;1,86;440;0,360;1,87;
#VALOR!;1,87;442;0,362;1,87;
#VALOR!;1,87;443;0,363;1,88;
#VALOR!;1,87;445;0,364;1,88;
#VALOR!;1,88;445;0,365;1,88;
#VALOR!;1,88;447;0,366;1,88;
#VALOR!;1,88;448;0,368;1,89;
#VALOR!;1,89;450;0,369;1,89;
#VALOR!;1,89;452;0,370;1,89;
#VALOR!;1,89;453;0,371;1,90;
#VALOR!;1,90;455;0,373;1,90;
#VALOR!;1,90;456;0,374;1,90;
#VALOR!;1,90;457;0,375;1,91;
#VALOR!;1,91;458;0,376;1,91;
#VALOR!;1,91;460;0,378;1,91;
#VALOR!;1,91;462;0,379;1,92;
#VALOR!;1,92;463;0,380;1,92;
#VALOR!;1,92;465;0,381;1,92;
#VALOR!;1,92;467;0,383;1,93;
#VALOR!;1,92;468;0,384;1,93;
#VALOR!;1,93;470;0,385;1,93;
#VALOR!;1,93;472;0,386;1,93;
#VALOR!;1,93;473;0,388;1,94;
#VALOR!;1,94;475;0,389;1,94;
#VALOR!;1,94;475;0,390;1,94;
#VALOR!;1,94;477;0,391;1,95;
#VALOR!;1,95;479;0,393;1,95;
#VALOR!;1,95;482;0,394;1,95;
#VALOR!;1,95;482;0,395;1,96;
#VALOR!;1,96;483;0,396;1,96;
#VALOR!;1,96;485;0,398;1,96;
#VALOR!;1,96;487;0,399;1,97;
#VALOR!;1,97;488;0,400;1,97;
#VALOR!;1,97;490;0,402;1,97;
#VALOR!;1,97;492;0,403;1,98;
#VALOR!;1,97;493;0,404;1,98;
#VALOR!;1,98;495;0,405;1,98;
#VALOR!;1,98;495;0,407;1,98;
#VALOR!;1,98;496;0,408;1,99;
#VALOR!;1,99;498;0,409;1,99;
#VALOR!;1,99;499;0,410;1,99;
#VALOR!;1,99;502;0,412;2,00;
#VALOR!;2,00;503;0,413;2,00;
#VALOR!;2,00;505;0,414;2,00;
#VALOR!;2,00;507;0,416;2,01;
#VALOR!;2,01;508;0,417;2,01;
#VALOR!;2,01;510;0,418;2,01;
#VALOR!;2,01;512;0,420;2,02;
#VALOR!;2,02;513;0,421;2,02;
#VALOR!;2,02;515;0,422;2,02;
#VALOR!;2,02;517;0,423;2,03;
#VALOR!;2,02;518;0,425;2,03;
#VALOR!;2,03;520;0,426;2,03;
#VALOR!;2,03;522;0,427;2,03;
#VALOR!;2,03;522;0,429;2,04;
#VALOR!;2,04;525;0,430;2,04;
#VALOR!;2,04;526;0,431;2,04;
#VALOR!;2,04;527;0,433;2,05;
#VALOR!;2,05;528;0,434;2,05;
#VALOR!;2,05;530;0,435;2,05;
#VALOR!;2,05;532;0,436;2,06;
#VALOR!;2,06;533;0,438;2,06;
#VALOR!;2,06;535;0,439;2,06;
#VALOR!;2,06;537;0,441;2,07;
#VALOR!;2,07;538;0,442;2,07;
#VALOR!;2,07;540;0,443;2,07;
#VALOR!;2,07;542;0,444;2,08;
#VALOR!;2,07;543;0,446;2,08;
#VALOR!;2,08;545;0,447;2,08;
#VALOR!;2,08;547;0,448;2,08;
#VALOR!;2,08;548;0,450;2,09;
#VALOR!;2,09;550;0,451;2,09;
#VALOR!;2,09;552;0,452;2,09;
#VALOR!;2,09;553;0,454;2,10;
#VALOR!;2,10;554;0,455;2,10;
#VALOR!;2,10;557;0,456;2,10;
#VALOR!;2,10;557;0,458;2,11;
#VALOR!;2,11;558;0,459;2,11;
#VALOR!;2,11;561;0,460;2,11;
#VALOR!;2,11;563;0,461;2,12;
#VALOR!;2,12;563;0,463;2,12;
#VALOR!;2,12;566;0,464;2,12;
#VALOR!;2,12;567;0,465;2,13;
#VALOR!;2,12;570;0,467;2,13;
#VALOR!;2,13;570;0,468;2,13;
#VALOR!;2,13;572;0,470;2,13;
#VALOR!;2,13;574;0,471;2,14;
#VALOR!;2,14;576;0,472;2,14;
#VALOR!;2,14;578;0,473;2,14;
#VALOR!;2,14;578;0,475;2,15;
#VALOR!;2,15;582;0,476;2,15;
#VALOR!;2,15;582;0,477;2,15;
#VALOR!;2,15;583;0,479;2,16;
#VALOR!;2,16;587;0,480;2,16;
#VALOR!;2,16;587;0,482;2,16;
#VALOR!;2,16;590;0,483;2,17;
#VALOR!;2,17;590;0,484;2,17;
#VALOR!;2,17;592;0,486;2,17;
#VALOR!;2,17;595;0,487;2,18;
#VALOR!;2,17;595;0,488;2,18;
#VALOR!;2,18;597;0,490;2,18;
#VALOR!;2,18;598;0,491;2,18;
#VALOR!;2,18;600;0,493;2,19;
#VALOR!;2,19;602;0,494;2,19;
#VALOR!;2,19;603;0,495;2,19;
#VALOR!;2,19;605;0,496;2,20;
#VALOR!;2,20;608;0,498;2,20;
#VALOR!;2,20;608;0,499;2,20;
#VALOR!;2,20;612;0,501;2,21;
#VALOR!;2,21;613;0,502;2,21;
#VALOR!;2,21;615;0,503;2,21;
#VALOR!;2,21;616;0,505;2,22;
#VALOR!;2,22;617;0,506;2,22;
#VALOR!;2,22;620;0,507;2,22;
#VALOR!;2,22;622;0,509;2,23;
#VALOR!;2,23;623;0,510;2,23;
#VALOR!;2,23;623;0,512;2,23;
#VALOR!;2,23;625;0,513;2,23;
#VALOR!;2,23;627;0,514;2,24;
#VALOR!;2,24;629;0,516;2,24;
#VALOR!;2,24;631;0,517;2,24;
#VALOR!;2,24;632;0,518;2,25;
#VALOR!;2,25;633;0,520;2,25;
#VALOR!;2,25;637;0,521;2,25;
#VALOR!;2,25;638;0,523;2,26;
#VALOR!;2,26;639;0,524;2,26;
#VALOR!;2,26;641;0,525;2,26;
#VALOR!;2,26;642;0,527;2,27;
#VALOR!;2,27;645;0,528;2,27;
#VALOR!;2,27;645;0,530;2,27;
#VALOR!;2,27;648;0,531;2,28;
#VALOR!;2,27;650;0,532;2,28;
#VALOR!;2,28;652;0,534;2,28;
#VALOR!;2,28;653;0,535;2,29;
#VALOR!;2,28;655;0,536;2,29;
#VALOR!;2,29;657;0,538;2,29;
#VALOR!;2,29;658;0,539;2,29;
#VALOR!;2,29;660;0,541;2,30;
#VALOR!;2,30;662;0,542;2,30;
#VALOR!;2,30;663;0,543;2,30;
#VALOR!;2,30;665;0,545;2,31;
#VALOR!;2,31;667;0,546;2,31;
#VALOR!;2,31;668;0,548;2,31;
#VALOR!;2,31;670;0,549;2,32;
#VALOR!;2,32;672;0,550;2,32;
#VALOR!;2,32;673;0,552;2,32;
#VALOR!;2,32;675;0,553;2,33;
#VALOR!;2,33;677;0,555;2,33;
#VALOR!;2,33;678;0,556;2,33;
#VALOR!;2,33;680;0,557;2,34;
#VALOR!;2,33;682;0,559;2,34;
#VALOR!;2,34;683;0,560;2,34;
#VALOR!;2,34;685;0,562;2,34;
#VALOR!;2,34;687;0,563;2,35;
#VALOR!;2,35;688;0,564;2,35;
#VALOR!;2,35;690;0,566;2,35;
#VALOR!;2,35;692;0,567;2,36;
#VALOR!;2,36;695;0,569;2,36;
#VALOR!;2,36;696;0,570;2,36;
#VALOR!;2,36;698;0,571;2,37;
#VALOR!;2,37;698;0,573;2,37;
#VALOR!;2,37;701;0,574;2,37;
#VALOR!;2,37;703;0,576;2,38;
#VALOR!;2,38;705;0,577;2,38;
#VALOR!;2,38;707;0,579;2,38;
#VALOR!;2,38;708;0,580;2,39;
#VALOR!;2,38;710;0,581;2,39;
#VALOR!;2,39;712;0,583;2,39;
#VALOR!;2,39;713;0,584;2,39;
#VALOR!;2,39;715;0,586;2,40;
#VALOR!;2,40;717;0,587;2,40;
#VALOR!;2,40;718;0,589;2,40;
#VALOR!;2,40;720;0,590;2,41;
#VALOR!;2,41;722;0,591;2,41;
#VALOR!;2,41;723;0,593;2,41;
#VALOR!;2,41;725;0,594;2,42;
#VALOR!;2,42;727;0,596;2,42;
#VALOR!;2,42;728;0,597;2,42;
#VALOR!;2,42;730;0,599;2,43;
#VALOR!;2,42;731;0,600;2,43;
#VALOR!;2,43;733;0,601;2,43;
#VALOR!;2,43;735;0,603;2,44;
#VALOR!;2,43;737;0,604;2,44;
#VALOR!;2,44;738;0,606;2,44;
#VALOR!;2,44;741;0,607;2,44;
#VALOR!;2,44;743;0,609;2,45;
#VALOR!;2,45;745;0,610;2,45;
#VALOR!;2,45;745;0,612;2,45;
#VALOR!;2,45;747;0,613;2,46;
#VALOR!;2,46;750;0,614;2,46;
#VALOR!;2,46;752;0,616;2,46;
#VALOR!;2,46;753;0,617;2,47;
#VALOR!;2,47;755;0,619;2,47;
#VALOR!;2,47;757;0,620;2,47;
#VALOR!;2,47;760;0,622;2,48;
#VALOR!;2,48;760;0,623;2,48;
#VALOR!;2,48;762;0,625;2,48;
#VALOR!;2,48;764;0,626;2,49;
#VALOR!;2,48;765;0,628;2,49;
#VALOR!;2,49;767;0,629;2,49;
#VALOR!;2,49;769;0,631;2,49;
#VALOR!;2,49;772;0,632;2,50;
#VALOR!;2,50;773;0,634;2,50;
#VALOR!;2,50;775;0,635;2,50;
#VALOR!;2,50;777;0,637;2,51;
#VALOR!;2,51;778;0,638;2,51;
#VALOR!;2,51;780;0,639;2,51;
#VALOR!;2,51;782;0,641;2,52;
#VALOR!;2,52;783;0,642;2,52;
#VALOR!;2,52;785;0,644;2,52;
#VALOR!;2,52;787;0,645;2,53;
#VALOR!;2,53;788;0,647;2,53;
#VALOR!;2,53;790;0,648;2,53;
#VALOR!;2,53;792;0,650;2,54;
#VALOR!;2,53;793;0,651;2,54;
#VALOR!;2,54;795;0,653;2,54;
#VALOR!;2,54;798;0,654;2,54;
#VALOR!;2,54;800;0,656;2,55;
#VALOR!;2,55;802;0,657;2,55;
#VALOR!;2,55;803;0,659;2,55;
#VALOR!;2,55;805;0,660;2,56;
#VALOR!;2,56;807;0,661;2,56;
#VALOR!;2,56;808;0,663;2,56;
#VALOR!;2,56;810;0,664;2,57;
#VALOR!;2,57;812;0,666;2,57;
#VALOR!;2,57;813;0,667;2,57;
#VALOR!;2,57;815;0,669;2,58;
#VALOR!;2,58;818;0,670;2,58;
#VALOR!;2,58;820;0,672;2,58;
#VALOR!;2,58;822;0,673;2,59;
#VALOR!;2,58;823;0,675;2,59;
#VALOR!;2,59;825;0,676;2,59;
#VALOR!;2,59;827;0,678;2,59;
#VALOR!;2,59;828;0,679;2,60;
#VALOR!;2,60;830;0,681;2,60;
#VALOR!;2,60;833;0,682;2,60;
#VALOR!;2,60;835;0,684;2,61;
#VALOR!;2,61;837;0,685;2,61;
#VALOR!;2,61;838;0,687;2,61;
#VALOR!;2,61;840;0,688;2,62;
#VALOR!;2,62;842;0,690;2,62;
#VALOR!;2,62;843;0,691;2,62;
#VALOR!;2,62;845;0,693;2,63;
#VALOR!;2,63;847;0,695;2,63;
#VALOR!;2,63;848;0,696;2,63;
#VALOR!;2,63;851;0,698;2,64;
#VALOR!;2,63;852;0,699;2,64;
#VALOR!;2,64;854;0,700;2,64;
#VALOR!;2,64;856;0,702;2,64;
#VALOR!;2,64;858;0,704;2,65;
#VALOR!;2,65;860;0,705;2,65;
#VALOR!;2,65;862;0,707;2,65;
#VALOR!;2,65;863;0,708;2,66;
#VALOR!;2,66;865;0,709;2,66;
#VALOR!;2,66;868;0,711;2,66;
#VALOR!;2,66;869;0,713;2,67;
#VALOR!;2,67;872;0,714;2,67;
#VALOR!;2,67;873;0,716;2,67;
#VALOR!;2,67;875;0,717;2,68;
#VALOR!;2,68;875;0,719;2,68;
#VALOR!;2,68;878;0,720;2,68;
#VALOR!;2,68;880;0,722;2,69;
#VALOR!;2,69;882;0,723;2,69;
#VALOR!;2,69;883;0,725;2,69;
#VALOR!;2,69;885;0,726;2,69;
#VALOR!;2,69;887;0,728;2,70;
#VALOR!;2,70;888;0,729;2,70;
#VALOR!;2,70;890;0,731;2,70;
#VALOR!;2,70;893;0,732;2,71;
#VALOR!;2,71;895;0,734;2,71;
#VALOR!;2,71;897;0,735;2,71;
#VALOR!;2,71;898;0,737;2,72;
#VALOR!;2,72;900;0,738;2,72;
#VALOR!;2,72;902;0,740;2,72;
#VALOR!;2,72;903;0,741;2,73;
#VALOR!;2,73;905;0,743;2,73;
#VALOR!;2,73;908;0,744;2,73;
#VALOR!;2,73;910;0,746;2,74;
#VALOR!;2,74;910;0,747;2,74;
#VALOR!;2,74;913;0,749;2,74;
#VALOR!;2,74;915;0,751;2,75;
#VALOR!;2,74;917;0,752;2,75;
#VALOR!;2,75;918;0,754;2,75;
#VALOR!;2,75;920;0,755;2,75;
#VALOR!;2,75;922;0,757;2,76;
#VALOR!;2,76;923;0,758;2,76;
#VALOR!;2,76;927;0,760;2,76;
#VALOR!;2,76;928;0,761;2,77;
#VALOR!;2,77;929;0,763;2,77;
#VALOR!;2,77;932;0,764;2,77;
#VALOR!;2,77;933;0,766;2,78;
#VALOR!;2,78;935;0,768;2,78;
#VALOR!;2,78;937;0,769;2,78;
#VALOR!;2,78;940;0,771;2,79;
#VALOR!;2,79;942;0,772;2,79;
#VALOR!;2,79;943;0,774;2,79;
#VALOR!;2,79;945;0,775;2,80;
#VALOR!;2,79;947;0,777;2,80;
#VALOR!;2,80;948;0,779;2,80;
#VALOR!;2,80;952;0,780;2,80;
#VALOR!;2,80;953;0,782;2,81;
#VALOR!;2,81;955;0,783;2,81;
#VALOR!;2,81;957;0,785;2,81;
#VALOR!;2,81;958;0,786;2,82;
#VALOR!;2,82;960;0,788;2,82;
#VALOR!;2,82;962;0,789;2,82;
#VALOR!;2,82;965;0,791;2,83;
#VALOR!;2,83;966;0,792;2,83;
#VALOR!;2,83;968;0,794;2,83;
#VALOR!;2,83;970;0,796;2,84;
#VALOR!;2,83;972;0,797;2,84;
#VALOR!;2,84;975;0,800;2,85;
#VALOR!;2,84;975;0,800;2,85;
#VALOR!;2,84;977;0,800;2,85;
#VALOR!;2,85;978;0,800;2,85;
#VALOR!;2,85;980;0,800;2,85;
#VALOR!;2,85;982;0,800;2,86;
#VALOR!;2,86;985;0,800;2,86;
#VALOR!;2,86;985;0,800;2,86;
#VALOR!;2,86;988;0,800;2,87;
#VALOR!;2,87;990;0,800;2,87;
#VALOR!;2,87;992;0,800;2,87;
#VALOR!;2,87;993;0,800;2,88;
#VALOR!;2,88;995;0,800;2,88;
#VALOR!;2,88;997;0,800;2,88;
#VALOR!;2,88;1000;0,800;2,89;
#VALOR!;2,88;1000;0,800;2,89;
#VALOR!;2,89;1000;0,800;2,89;
#VALOR!;2,89;1010;0,800;2,89;
#VALOR!;2,89;1010;0,800;2,90;
#VALOR!;2,90;1010;0,800;2,90;
#VALOR!;2,90;1010;0,800;2,90;
#VALOR!;2,90;1010;0,800;2,91;
#VALOR!;2,91;1010;0,800;2,91;
#VALOR!;2,91;1020;0,800;2,91;
#VALOR!;2,91;1020;0,800;2,92;
#VALOR!;2,92;1020;0,800;2,92;
#VALOR!;2,92;1020;0,800;2,92;
#VALOR!;2,92;1020;0,800;2,93;
#VALOR!;2,93;1030;0,800;2,93;
#VALOR!;2,93;1030;0,800;2,93;
#VALOR!;2,93;1030;0,800;2,94;
#VALOR!;2,93;1030;0,800;2,94;
#VALOR!;2,94;1030;0,800;2,94;
#VALOR!;2,94;1040;0,800;2,94;
#VALOR!;2,94;1040;0,800;2,95;
#VALOR!;2,95;1040;0,800;2,95;
#VALOR!;2,95;1040;0,800;2,95;
#VALOR!;2,95;1040;0,800;2,96;
#VALOR!;2,96;1040;0,800;2,96;
#VALOR!;2,96;1050;0,800;2,96;
#VALOR!;2,96;1050;0,800;2,97;
#VALOR!;2,97;1050;0,800;2,97;
#VALOR!;2,97;1050;0,800;2,97;
#VALOR!;2,97;1050;0,800;2,98;
#VALOR!;2,97;1060;0,800;2,98;
#VALOR!;2,98;1060;0,800;2,98;
#VALOR!;2,98;1060;0,800;2,98;
#VALOR!;2,98;1060;0,800;2,99;
#VALOR!;2,99;1060;0,800;2,99;
#VALOR!;2,99;1060;0,800;2,99;
#VALOR!;2,99;1070;0,800;3,00;
#VALOR!;3,00;1070;0,800;3,00;
#VALOR!;3,00;1070;0,800;3,00;
#VALOR!;3,00;1070;0,800;3,01;
#VALOR!;3,01;1070;0,800;3,01;
#VALOR!;3,01;1080;0,800;3,01;
#VALOR!;3,01;1080;0,800;3,02;
#VALOR!;3,02;1080;0,800;3,02;
#VALOR!;3,02;1080;0,800;3,02;
#VALOR!;3,02;1080;0,800;3,03;
#VALOR!;3,02;1090;0,800;3,03;
#VALOR!;3,03;1090;0,800;3,03;
#VALOR!;3,03;1090;0,800;3,03;
#VALOR!;3,04;1090;0,800;3,04;
#VALOR!;3,05;1100;0,800;3,04;
#VALOR!;3,06;1110;0,800;3,04;
#VALOR!;3,07;1110;0,800;3,05;
#VALOR!;3,07;1120;0,800;3,05;
#VALOR!;3,08;1130;0,800;3,05;
#VALOR!;3,09;1130;0,800;3,06;
#VALOR!;3,10;1140;0,800;3,06;
#VALOR!;3,11;1150;0,800;3,06;
#VALOR!;3,12;1150;0,800;3,07;
#VALOR!;3,13;1160;0,800;3,07;
#VALOR!;3,14;1160;0,800;3,07;
#VALOR!;3,15;1170;0,800;3,07;
#VALOR!;3,16;1180;0,800;3,08;
#VALOR!;3,17;1180;0,800;3,08;
#VALOR!;3,17;1190;0,800;3,08;
#VALOR!;3,18;1190;0,800;3,09;
#VALOR!;3,19;1200;0,800;3,09;
#VALOR!;3,20;1210;0,800;3,09;
#VALOR!;3,21;1210;0,800;3,10;
#VALOR!;3,22;1220;0,800;3,10;
#VALOR!;3,23;1220;0,800;3,10;
#VALOR!;3,24;1230;0,800;3,10;
#VALOR!;3,25;1230;0,800;3,11;
#VALOR!;3,26;1240;0,800;3,11;
#VALOR!;3,27;1240;0,800;3,11;
#VALOR!;3,28;1250;0,800;3,12;
#VALOR!;3,28;1260;0,800;3,12;
#VALOR!;3,29;1260;0,800;3,12;
#VALOR!;3,30;1270;0,800;3,13;
#VALOR!;3,32;0,00;0,800;3,13;
